file,mode,n_eval,accuracy,precision_true,recall_true,f1_true,confusion_matrix
deepseek_LIAR_no_subjects.csv,decision_agent,1233.0,0.5020275750202757,0.6723404255319149,0.2273381294964029,0.33978494623655914,"[[158, 537], [77, 461]]"
deepseek_LIAR_no_subjects.csv,expert__economy,1083.0,0.5355493998153278,0.6956521739130435,0.3142389525368249,0.43291995490417134,"[[192, 419], [84, 388]]"
deepseek_LIAR_no_subjects.csv,expert__health_science,1143.0,0.6255468066491688,0.630184331797235,0.8363914373088684,0.7187910643889619,"[[547, 107], [321, 168]]"
deepseek_LIAR_no_subjects.csv,expert__politics,1089.0,0.45362718089990817,0.7555555555555555,0.05501618122977346,0.10256410256410256,"[[34, 584], [11, 460]]"
deepseek_LIAR_no_subjects.csv,majority_vote,1267.0,0.5311760063141279,0.6948051948051948,0.29971988795518206,0.4187866927592955,"[[214, 500], [94, 459]]"
deepseek_LIAR_no_subjects.csv,weighted_vote,1267.0,0.48382004735595896,0.6595744680851063,0.17366946778711484,0.2749445676274945,"[[124, 590], [64, 489]]"
deepseek_LIAR_with_subjects.csv,decision_agent,1244.0,0.52491961414791,0.6509695290858726,0.3357142857142857,0.4429783223374175,"[[235, 465], [126, 418]]"
deepseek_LIAR_with_subjects.csv,expert__economy,1038.0,0.5317919075144508,0.6677740863787376,0.3424190800681431,0.4527027027027027,"[[201, 386], [100, 351]]"
deepseek_LIAR_with_subjects.csv,expert__health_science,1124.0,0.6165480427046264,0.6175166297117517,0.8662519440124417,0.7210355987055016,"[[557, 86], [345, 136]]"
deepseek_LIAR_with_subjects.csv,expert__politics,1062.0,0.4500941619585687,0.7017543859649122,0.06589785831960461,0.12048192771084337,"[[40, 567], [17, 438]]"
deepseek_LIAR_with_subjects.csv,majority_vote,1267.0,0.5224940805051302,0.6552706552706553,0.32212885154061627,0.431924882629108,"[[230, 484], [121, 432]]"
deepseek_LIAR_with_subjects.csv,weighted_vote,1267.0,0.489344909234412,0.6572769953051644,0.19607843137254902,0.30204962243797195,"[[140, 574], [73, 480]]"
deepseek_finetuned_no_subjects.csv,decision_agent,1238.0,0.5266558966074314,0.6638176638176638,0.33238231098430815,0.4429657794676806,"[[233, 468], [118, 419]]"
deepseek_finetuned_no_subjects.csv,expert__economy,1083.0,0.6214219759926131,0.671118530884808,0.6536585365853659,0.6622734761120264,"[[402, 213], [197, 271]]"
deepseek_finetuned_no_subjects.csv,expert__health_science,1170.0,0.6094017094017095,0.6052366565961732,0.9024024024024024,0.7245328511151296,"[[601, 65], [392, 112]]"
deepseek_finetuned_no_subjects.csv,expert__politics,1104.0,0.47282608695652173,0.7181818181818181,0.1253968253968254,0.21351351351351353,"[[79, 551], [31, 443]]"
deepseek_finetuned_no_subjects.csv,majority_vote,1267.0,0.6093133385951065,0.6763285024154589,0.5882352941176471,0.6292134831460674,"[[420, 294], [201, 352]]"
deepseek_finetuned_no_subjects.csv,weighted_vote,1267.0,0.5240726124704025,0.6796116504854369,0.29411764705882354,0.41055718475073316,"[[210, 504], [99, 454]]"
deepseek_finetuned_with_subjects.csv,decision_agent,1232.0,0.5186688311688312,0.6341463414634146,0.33815028901734107,0.4410933081998115,"[[234, 458], [135, 405]]"
deepseek_finetuned_with_subjects.csv,expert__economy,1010.0,0.5287128712871287,0.6702508960573477,0.3274956217162872,0.44,"[[187, 384], [92, 347]]"
deepseek_finetuned_with_subjects.csv,expert__health_science,1144.0,0.6031468531468531,0.6030612244897959,0.9009146341463414,0.7224938875305623,"[[591, 65], [389, 99]]"
deepseek_finetuned_with_subjects.csv,expert__politics,1068.0,0.448501872659176,0.6956521739130435,0.05271828665568369,0.09800918836140889,"[[32, 575], [14, 447]]"
